Document ID,Participant,Timestamp,Trial,Task,Response,Choice,RT,ITI (s),Reward,Feedback,All Probabilities,Chosen Probability
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,15,,65,,4993,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,16,,73,,3025,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,17,,1,,3568,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,18,,36,,2124,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,19,,60,,2693,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,20,,71,,2536,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,21,,,,10000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,22,response,,t,2500,,1,+1.00$,"[0.5,0.3,0.7]",0.3
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,23,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,24,,,,,1.97473574,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,24,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,25,response,q,q,1320,,1,+1.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,26,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,27,,,,,2.06856255,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,27,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,28,response,t,t,573,,,0.00$,"[0.5,0.3,0.7]",0.3
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,29,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,30,,,,,4.77221725,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,30,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,31,response,p,p,926,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,32,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,33,,,,,1.72268074,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,33,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,34,response,p,p,1165,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,35,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,36,,,,,1.8988998,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,36,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,37,response,q,q,502,,1,+1.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,38,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,39,,,,,4.93912462,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,39,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,40,response,p,p,467,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,41,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,42,,,,,3.53667484,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,42,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,43,response,q,q,491,,,0.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,44,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,45,,,,,3.91494587,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,45,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,46,response,p,p,272,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,47,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,48,,,,,3.44448521,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,48,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,49,response,p,p,1118,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,50,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,51,,,,,1.01394596,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,51,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,52,response,p,p,786,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,53,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,54,,,,,3.68446081,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,54,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,55,response,p,p,425,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,56,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,57,,,,,4.50856021,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,57,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,58,response,p,p,313,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,59,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,60,,,,,4.95281674,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,60,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,61,response,p,p,281,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,62,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,63,,,,,4.44339236,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,63,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,64,response,p,p,244,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,65,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,66,,,,,4.65645066,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,66,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,67,response,p,p,384,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,68,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,69,,,,,3.97178517,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,69,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,70,response,p,p,542,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,71,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,72,,,,,4.12585882,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,72,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,73,response,p,p,260,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,74,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,75,,,,,3.654616,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,75,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,76,response,t,t,256,,,0.00$,"[0.5,0.3,0.7]",0.3
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,77,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,78,,,,,1.87549279,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,78,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,79,response,p,p,379,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,80,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,81,,,,,1.34170206,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,81,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,82,response,p,p,722,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,83,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,84,,,,,4.58203134,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,84,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,85,response,p,p,2246,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,86,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,87,,,,,2.11754048,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,87,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,88,response,p,p,1646,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,89,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,90,,,,,2.68921955,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,90,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,91,response,p,p,457,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,92,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,93,,,,,1.22203299,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,93,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,94,response,p,p,369,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,95,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,96,,,,,2.87804185,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,96,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,97,response,p,p,396,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,98,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,99,,,,,2.64379115,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,99,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,100,response,p,p,342,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,101,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,102,,,,,4.50775926,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,102,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,103,response,p,p,301,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,104,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,105,,,,,2.5956608,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,105,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,106,response,p,p,508,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,107,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,108,,,,,3.17386958,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,108,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,109,response,p,p,426,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,110,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,111,,,,,3.99800967,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,111,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,112,response,p,p,677,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,113,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,114,,,,,3.88535747,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,114,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,115,response,p,p,413,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,116,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,117,,,,,3.3403206,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,117,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,118,response,p,p,391,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,119,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,120,,,,,1.24415086,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,120,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,121,response,p,p,1332,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,122,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,123,,,,,4.42389611,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,123,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,124,response,p,p,338,,,0.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,125,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,126,,,,,1.87287147,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,126,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,127,response,q,q,483,,1,+1.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,128,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,129,,,,,2.85765018,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,129,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,130,response,q,q,738,,,0.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,131,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,132,,,,,4.71875611,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,132,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,133,response,p,p,412,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,134,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,135,,,,,1.30162451,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,135,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,136,response,p,p,701,,1,+1.00$,"[0.5,0.3,0.7]",0.7
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,137,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,138,,,,,1.24078153,,,,
